,Country,"Life Expectancy, Both Sexes - UN 2024â","LE, Female - UN 2024","LE, Male - UN 2024"
,Palau,69.4,71.9,67.3
,Botswana,69.3,71.8,66.8
,Laos,69.2,71.5,67
,Palestine,69.2,74.3,65.2
,Senegal,68.9,71,67
,Eritrea,68.9,70.9,66.8
,Bolivia,68.7,71.3,66.3
,Mauritania,68.7,70.7,66.7
,Gabon,68.5,71.2,66.1
,Uganda,68.5,71.4,65.5
,Rwanda,68,70.1,65.7
,Timor-Leste,67.9,69.7,66.3
,Pakistan,67.8,70.3,65.5
,Ethiopia,67.6,71,64.3
,Malawi,67.6,70.8,64.3
,Namibia,67.5,71.5,63.5
,Fiji,67.5,69.5,65.5
,Micronesia,67.4,71.3,63.6
,Tuvalu,67.3,70.9,63.9
,Tanzania,67.2,70,64.4
,Myanmar,67.1,70.4,64
,Marshall Islands,67.1,69.5,65
,Comoros,67,69.2,65
,Kiribati,66.6,68.3,64.7
,Zambia,66.5,68.9,64.1
,Sudan,66.5,69.8,63.5
,South Africa,66.3,69.8,62.8
,Afghanistan,66.3,67.8,64.7
,Papua New Guinea,66.3,69.2,63.8
,Djibouti,66.2,68.7,63.7
,Gambia,66.1,67.8,64.3
,Republic of the Congo,66,67.7,64.3
,Ghana,65.7,68.2,63.3
,Haiti,65.1,68.5,61.9
,Angola,64.8,67.3,62.3
,Eswatini,64.3,67.1,61.3
,Guinea-Bissau,64.3,66.5,61.8
,Cameroon,64,66.2,61.8
,Equatorial Guinea,63.9,65.9,62.2
,Kenya,63.8,66.1,61.6
,Madagascar,63.8,65.6,62.1
,Burundi,63.8,65.9,61.8
,Mozambique,63.8,66.7,60.5
,Zimbabwe,63.1,65.3,60.5
,Togo,62.9,63.1,62.7
,Liberia,62.3,63.6,61
,Nauru,62.3,64.2,60.4
,Ivory Coast,62.1,64.3,60.2
,DR Congo,62.1,64.2,60
,Sierra Leone,62,63.7,60.2
,Niger,61.4,62.4,60.5
,Burkina Faso,61.3,63.4,59.1
,Benin,61,62.4,59.5
,Guinea,60.9,62.1,59.7
,Mali,60.7,62.1,59.3
,Somalia,59,61.5,56.5
,Lesotho,57.8,60.4,55
,South Sudan,57.7,60.8,54.8
,Central African Republic,57.7,59.6,55.5
,Chad,55.2,57.2,53.4
,Nigeria,54.6,54.9,54.3
